ps_id	title	organisation	ministry	category	theme	description_short
26183	Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics	Ministry of Home Affairs	Indian Cyber Crime Coordination Centre (I4C),CIS Division	Software	Blockchain & Cybersecurity	• Background Cyber fraud victims increasingly report suspect cryptocurrency wallet addresses used by fraudsters for collection of funds in cases involving: • investment scams, • task-based frauds, •
26184	Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.	Ministry of Home Affairs	Indian Cyber Crime Coordination Centre (I4C),CIS Division	Software	Blockchain & Cybersecurity	• Background The National Cybercrime Reporting Portal is the centralized Portal, which is serving the whole country. Currently, the Portal facilitates citizens in filing complaints, LEAs act on
26185	Helmet mounted conformal antenna for tactical communications in urban CQB environments.	Ministry of Home Affairs	National Security Guard (NSG), Police II Division	Hardware	Robotics and Drones	• Background During high-intensity urban counter-terrorism (CT) and Close-Quarter Battle (CQB) operations, the National Security Guard (NSG) operates in highly restrictive indoor spaces like closed
26186	AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces	Ministry of Home Affairs	Central Reserve Police Force (CRPF), Police II Division	Software	MedTech / BioTech / HealthTech	• Background Personnel serving in Central Armed Police Forces (CAPFs), Armed Forces, and other uniformed services operate under physically demanding, psychologically stressful, and often hazardous
26187	AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.	Ministry of Home Affairs	Sashastra Seema Bal (SSB), Police II Division	Software	Blockchain & Cybersecurity	• Background Border security forces deploy CCTV cameras at Border Out Posts(BOPs), check posts, border roads, and other strategic locations for surveillance and monitoring. However, conventional CCTV
26188	Al-Based Fake Identity & Document Screening System	Ministry of Home Affairs	Sashastra Seema Bal (SSB), Police II Division	Software	Blockchain & Cybersecurity	• Background Common challenges faced at border checkpoints: • Fake passports and visas • Altered photographs • Modified dates of birth • Tampered visa stamps • Identity impersonation • Multiple
26189	AI-Powered Criminal Network Analysis System	Ministry of Home Affairs	National Crime Records Bureau (NCRB), Women Safety Division	Software	Blockchain & Cybersecurity	• Background Modern criminal activities are increasingly organized and interconnected. Criminals often operate through networks involving associates, intermediaries, financial channels, communication
26190	Secure Digital Document Management System for Legal and Investigation Documents	Ministry of Home Affairs	National Crime Records Bureau (NCRB), Women Safety Division	Software	Blockchain & Cybersecurity	• Background Law enforcement agencies, courts, legal departments, and investigative organizations handle vast amounts of sensitive documents throughout the lifecycle of a case. These documents may
26191	Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations	Ministry of Home Affairs	National Disaster Response Force (NDRF), DM Division	Software	Disaster Management	• Background Indiaâ€™s disaster-prone regions face recurring hazards such as landslides,floods, coastal erosion, and cloudbursts. Vulnerable habitations often remain in unsafe zones, leading to
26192	Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme	Ministry of Home Affairs	National Disaster Response Force (NDRF), DM Division	Software	Disaster Management	• Background Hilly states in India are highly vulnerable to landslides and flash floods,which often occur with very short warning times. These sudden events result in significant loss of lives and
26193	Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.	AICTE	AICTE, MIC-Student Innovation	Software	Agriculture, FoodTech & Rural Development	Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.
26194	Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.	AICTE	AICTE, MIC-Student Innovation	Software	Blockchain & Cybersecurity	Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.
26195	Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.	AICTE	AICTE, MIC-Student Innovation	Software	Clean & Green Technology	Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.
26196	Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.	AICTE	AICTE, MIC-Student Innovation	Software	Fitness & Sports	Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.
26197	Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.	AICTE	AICTE, MIC-Student Innovation	Software	Heritage & Culture	Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.
26198	Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.	AICTE	AICTE, MIC-Student Innovation	Software	MedTech / BioTech / HealthTech	Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.
26199	Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.	AICTE	AICTE, MIC-Student Innovation	Software	Miscellaneous	Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.
26200	Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently	AICTE	AICTE, MIC-Student Innovation	Software	Renewable / Sustainable Energy	Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently
26201	Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.	AICTE	AICTE, MIC-Student Innovation	Software	Robotics and Drones	Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.
26202	Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.	AICTE	AICTE, MIC-Student Innovation	Software	Smart Automation	Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get
26203	Student Innovation-Creating intelligent devices to improve commutation sector.	AICTE	AICTE, MIC-Student Innovation	Software	Smart Vehicles	Student Innovation-Creating intelligent devices to improve commutation sector.
26204	Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.	AICTE	AICTE, MIC-Student Innovation	Software	Travel & Tourism	Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.
26205	Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.	AICTE	AICTE, MIC-Student Innovation	Software	Transportation & Logistics	Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.
26206	Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.	AICTE	AICTE, MIC-Student Innovation	Software	Disaster Management	Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.
26207	Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.	AICTE	AICTE, MIC-Student Innovation	Software	Smart Education	Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.
26208	Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.	AICTE	AICTE, MIC-Student Innovation	Software	Toys & Games	Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.
26209	Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.	AICTE	AICTE, MIC-Student Innovation	Software	Space Technology	Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.
26210	Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.	AICTE	AICTE, MIC-Student Innovation	Hardware	Agriculture, FoodTech & Rural Development	Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.
26211	Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.	AICTE	AICTE, MIC-Student Innovation	Hardware	Blockchain & Cybersecurity	Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.
26212	Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.	AICTE	AICTE, MIC-Student Innovation	Hardware	Clean & Green Technology	Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.
26213	Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.	AICTE	AICTE, MIC-Student Innovation	Hardware	Fitness & Sports	Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.
26214	Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.	AICTE	AICTE, MIC-Student Innovation	Hardware	Heritage & Culture	Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.
26215	Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.	AICTE	AICTE, MIC-Student Innovation	Hardware	MedTech / BioTech / HealthTech	Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.
26216	Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.	AICTE	AICTE, MIC-Student Innovation	Hardware	Miscellaneous	Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.
26217	Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently	AICTE	AICTE, MIC-Student Innovation	Hardware	Renewable / Sustainable Energy	Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently
26218	Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.	AICTE	AICTE, MIC-Student Innovation	Hardware	Robotics and Drones	Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.
26219	Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.	AICTE	AICTE, MIC-Student Innovation	Hardware	Smart Automation	Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get
26220	Student Innovation-Creating intelligent devices to improve commutation sector.	AICTE	AICTE, MIC-Student Innovation	Hardware	Smart Vehicles	Student Innovation-Creating intelligent devices to improve commutation sector.
26221	Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.	AICTE	AICTE, MIC-Student Innovation	Hardware	Travel & Tourism	Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.
26222	Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.	AICTE	AICTE, MIC-Student Innovation	Hardware	Transportation & Logistics	Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.
26223	Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.	AICTE	AICTE, MIC-Student Innovation	Hardware	Disaster Management	Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.
26224	Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.	AICTE	AICTE, MIC-Student Innovation	Hardware	Smart Education	Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.
26225	Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.	AICTE	AICTE, MIC-Student Innovation	Hardware	Toys & Games	Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.
26226	Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.	AICTE	AICTE, MIC-Student Innovation	Hardware	Space Technology	Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.
26227	Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.	Ministry of defence (MoD)	Indian Army (DGIS)	Software	Space Technology	Description 2.1. Background. Earth-observation archives are expanding rapidly and increasingly contain multi-temporal, multi-spectral and multi-sensor imagery. Conventional catalogues are effective
26228	Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines	Ministry of defence (MoD)	Indian Army (DGIS)	Software	Blockchain & Cybersecurity	2. Description. 2.1. Background. Operational computer vision pipelines may combine training data from multiple contributors, pretrained or vendor-supplied models, and inference outputs consumed by
26229	Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling Chain	Ministry of Mines (MoM)	Jawaharlal Nehru Aluminium Research Development and Design Centre (JNARDDC)	Software	Clean & Green Technology	Background: The overwhelming majority of India’s end-of-life electronics is collected through informal scrap dealers, waste-pickers, and local aggregators due to their extensive last-mile reach and
